tn_proba,fp_proba,fn_proba,tp_proba,accuracy_proba,balanced_accuracy_proba,f1_weighted_proba,f1_macro_proba,precision_1_proba,recall_1_proba,precision_0_proba,recall_0_proba,roc_auc_proba,tn_ratio,fp_ratio,fn_ratio,tp_ratio,accuracy_ratio,balanced_accuracy_ratio,f1_weighted_ratio,f1_macro_ratio,precision_1_ratio,recall_1_ratio,precision_0_ratio,recall_0_ratio,roc_auc_ratio,best_thresh_proba,tn_proba_best,fp_proba_best,fn_proba_best,tp_proba_best,balanced_accuracy_proba_best,accuracy_proba_best,f1_weighted_proba_best,f1_macro_proba_best,precision_1_proba_best,recall_1_proba_best,precision_0_proba_best,recall_0_proba_best,best_thresh_ratio,tn_ratio_best,fp_ratio_best,fn_ratio_best,tp_ratio_best,balanced_accuracy_ratio_best,accuracy_ratio_best,f1_weighted_ratio_best,f1_macro_ratio_best,precision_1_ratio_best,recall_1_ratio_best,precision_0_ratio_best,recall_0_ratio_best,perm_or_obs
111,89,302,333,0.5317365269461077,0.5397047244094488,0.5659098646216466,0.49611924542512353,0.7890995260663507,0.5244094488188976,0.2687651331719128,0.555,0.5336377952755905,108,92,306,329,0.5233532934131736,0.5290551181102363,0.5581205445194892,0.48744879577534295,0.7814726840855107,0.5181102362204725,0.2608695652173913,0.54,0.5322283464566928,0.5,111,89,302,333,0.5397047244094488,0.5317365269461077,0.5659098646216466,0.49611924542512353,0.7890995260663507,0.5244094488188976,0.2687651331719128,0.555,0.5,108,92,306,329,0.5290551181102363,0.5233532934131736,0.5581205445194892,0.48744879577534295,0.7814726840855107,0.5181102362204725,0.2608695652173913,0.54,14
98,102,330,305,0.48263473053892214,0.48515748031496064,0.5199490135466808,0.4487572893871413,0.7493857493857494,0.48031496062992124,0.22897196261682243,0.49,0.4703858267716535,92,108,319,316,0.48862275449101794,0.4788188976377953,0.5259765470658253,0.44896754341634093,0.7452830188679245,0.49763779527559054,0.22384428223844283,0.46,0.46326377952755904,0.48,3,197,8,627,0.5012007874015748,0.7544910179640718,0.6604372860845166,0.44396441112363527,0.7609223300970874,0.9874015748031496,0.2727272727272727,0.015,0.48,4,196,9,626,0.5029133858267716,0.7544910179640718,0.6624756808461051,0.4484293084059148,0.7615571776155717,0.9858267716535433,0.3076923076923077,0.02,15
90,110,328,307,0.4754491017964072,0.46673228346456697,0.5136171232417959,0.4374561630181993,0.7362110311750599,0.48346456692913387,0.215311004784689,0.45,0.4485354330708662,82,118,327,308,0.46706586826347307,0.44751968503937006,0.506023772366773,0.42493913942449807,0.7230046948356808,0.48503937007874015,0.20048899755501223,0.41,0.4414251968503937,0.48,4,196,10,625,0.5021259842519685,0.7532934131736527,0.6618378473616595,0.44794983054328846,0.761266747868453,0.984251968503937,0.2857142857142857,0.02,0.53,200,0,632,3,0.5023622047244094,0.24311377245508983,0.09998942117223598,0.19850064396976988,1.0,0.004724409448818898,0.2403846153846154,1.0,16
104,96,311,324,0.5125748502994012,0.5151181102362206,0.5481086376547564,0.4762146957962471,0.7714285714285715,0.510236220472441,0.25060240963855424,0.52,0.5005511811023622,104,96,328,307,0.49221556886227547,0.501732283464567,0.5286698863924305,0.46031804102338963,0.7617866004962779,0.48346456692913387,0.24074074074074073,0.52,0.4911889763779528,0.5,104,96,311,324,0.5151181102362206,0.5125748502994012,0.5481086376547564,0.4762146957962471,0.7714285714285715,0.510236220472441,0.25060240963855424,0.52,0.51,182,18,567,68,0.5085433070866142,0.2994011976047904,0.23531786198658863,0.28609427545456273,0.7906976744186046,0.10708661417322834,0.24299065420560748,0.91,17
98,102,316,319,0.4994011976047904,0.4961811023622047,0.5359155467566495,0.46169245385450597,0.7577197149643705,0.5023622047244094,0.23671497584541062,0.49,0.5048661417322835,91,109,320,315,0.48622754491017967,0.47553149606299217,0.523756296700794,0.4463865951419444,0.7429245283018868,0.49606299212598426,0.22141119221411193,0.455,0.4884015748031496,0.51,184,16,574,61,0.5080314960629921,0.2934131736526946,0.22231485283052155,0.27774096314888225,0.7922077922077922,0.09606299212598425,0.24274406332453827,0.92,0.49,22,178,63,572,0.5053937007874016,0.7113772455089821,0.6651288720298335,0.4901893723478371,0.7626666666666667,0.9007874015748032,0.25882352941176473,0.11,18
85,115,292,343,0.5125748502994012,0.48257874015748026,0.5478691794020848,0.461128879064981,0.7489082969432315,0.5401574803149606,0.22546419098143236,0.425,0.49057480314960633,85,115,286,349,0.5197604790419161,0.48730314960629917,0.5543085763157182,0.4664230657069235,0.7521551724137931,0.5496062992125984,0.22911051212938005,0.425,0.48566929133858266,0.51,184,16,574,61,0.5080314960629921,0.2934131736526946,0.22231485283052155,0.27774096314888225,0.7922077922077922,0.09606299212598425,0.24274406332453827,0.92,0.51,182,18,557,78,0.5164173228346457,0.31137724550898205,0.25514045792934875,0.30052636256226245,0.8125,0.12283464566929134,0.2462787550744249,0.91,19
93,107,318,317,0.49101796407185627,0.4821062992125984,0.5281967974308566,0.4515484916907375,0.7476415094339622,0.49921259842519683,0.22627737226277372,0.465,0.48374015748031496,90,110,323,312,0.481437125748503,0.4706692913385827,0.5192812567293427,0.4419939469797404,0.7393364928909952,0.49133858267716535,0.2179176755447942,0.45,0.47532677165354337,0.49,24,176,65,570,0.5088188976377952,0.7113772455089821,0.6675489413146827,0.4957893708235094,0.7640750670241286,0.8976377952755905,0.2696629213483146,0.12,0.49,29,171,73,562,0.51501968503937,0.7077844311377246,0.6708387570160018,0.5068452035165176,0.7667121418826739,0.8850393700787401,0.28431372549019607,0.145,20
109,91,338,297,0.48622754491017967,0.5063582677165355,0.5222726009316562,0.4587924415416065,0.7654639175257731,0.46771653543307085,0.24384787472035793,0.545,0.5048897637795275,105,95,328,307,0.4934131736526946,0.5042322834645669,0.5297359231821311,0.4619230646185908,0.763681592039801,0.48346456692913387,0.24249422632794457,0.525,0.5034370078740158,0.5,109,91,338,297,0.5063582677165355,0.48622754491017967,0.5222726009316562,0.4587924415416065,0.7654639175257731,0.46771653543307085,0.24384787472035793,0.545,0.51,182,18,570,65,0.5061811023622047,0.2958083832335329,0.22927273423004882,0.28170571849909876,0.7831325301204819,0.10236220472440945,0.24202127659574468,0.91,21
92,108,291,344,0.5221556886227545,0.5008661417322835,0.5569285117791167,0.4742718009975999,0.7610619469026548,0.5417322834645669,0.2402088772845953,0.46,0.5068267716535433,97,103,286,349,0.5341317365269461,0.5173031496062992,0.5680330603560813,0.4874479463360059,0.7721238938053098,0.5496062992125984,0.25326370757180156,0.485,0.5136299212598425,0.49,24,176,59,576,0.5135433070866142,0.718562874251497,0.6722562172080743,0.50009044102099,0.7659574468085106,0.9070866141732283,0.2891566265060241,0.12,0.5,97,103,286,349,0.5173031496062992,0.5341317365269461,0.5680330603560813,0.4874479463360059,0.7721238938053098,0.5496062992125984,0.25326370757180156,0.485,22
111,89,322,313,0.5077844311377245,0.5239566929133859,0.5430767480563969,0.47718765853012013,0.7786069651741293,0.49291338582677163,0.25635103926096997,0.555,0.5202834645669292,109,91,325,310,0.5017964071856288,0.5165944881889764,0.5374718815660277,0.4711520894486194,0.773067331670823,0.4881889763779528,0.2511520737327189,0.545,0.5190866141732283,0.5,111,89,322,313,0.5239566929133859,0.5077844311377245,0.5430767480563969,0.47718765853012013,0.7786069651741293,0.49291338582677163,0.25635103926096997,0.555,0.5,109,91,325,310,0.5165944881889764,0.5017964071856288,0.5374718815660277,0.4711520894486194,0.773067331670823,0.4881889763779528,0.2511520737327189,0.545,23
96,104,325,310,0.48622754491017967,0.4840944881889764,0.5235276259489696,0.45010891440202994,0.748792270531401,0.4881889763779528,0.22802850356294538,0.48,0.4768031496062992,91,109,322,313,0.48383233532934133,0.4739566929133858,0.5215016666289763,0.44457134214380634,0.7417061611374408,0.49291338582677163,0.22033898305084745,0.455,0.47194094488188976,0.49,23,177,68,567,0.5039566929133859,0.7065868263473054,0.6632309717265452,0.49020531337764056,0.7620967741935484,0.8929133858267716,0.25274725274725274,0.115,0.48,6,194,12,623,0.5055511811023622,0.7532934131736527,0.6657720271035757,0.4565862966613592,0.762545899632803,0.9811023622047244,0.3333333333333333,0.03,24
