tn_proba,fp_proba,fn_proba,tp_proba,accuracy_proba,balanced_accuracy_proba,f1_weighted_proba,f1_macro_proba,precision_1_proba,recall_1_proba,precision_0_proba,recall_0_proba,roc_auc_proba,tn_ratio,fp_ratio,fn_ratio,tp_ratio,accuracy_ratio,balanced_accuracy_ratio,f1_weighted_ratio,f1_macro_ratio,precision_1_ratio,recall_1_ratio,precision_0_ratio,recall_0_ratio,roc_auc_ratio,best_thresh_proba,tn_proba_best,fp_proba_best,fn_proba_best,tp_proba_best,balanced_accuracy_proba_best,accuracy_proba_best,f1_weighted_proba_best,f1_macro_proba_best,precision_1_proba_best,recall_1_proba_best,precision_0_proba_best,recall_0_proba_best,best_thresh_ratio,tn_ratio_best,fp_ratio_best,fn_ratio_best,tp_ratio_best,balanced_accuracy_ratio_best,accuracy_ratio_best,f1_weighted_ratio_best,f1_macro_ratio_best,precision_1_ratio_best,recall_1_ratio_best,precision_0_ratio_best,recall_0_ratio_best,perm_or_obs,perm_id
440,466,1553,1499,0.48989388580090953,0.4884022780994043,0.5302671363459066,0.4505606085910182,0.7628498727735369,0.49115334207077327,0.22077270446562972,0.4856512141280353,0.4860826613894844,445,461,1546,1506,0.4929257200606367,0.49230844898868475,0.5330725273948376,0.4536669527043352,0.7656329435688867,0.49344692005242463,0.22350577599196383,0.4911699779249448,0.4871354216393404,0.47000000000000003,27,879,78,2974,0.5021221563538837,0.758211217786761,0.6764525208051712,0.45740862102677926,0.7718660783804827,0.9744429882044561,0.2571428571428571,0.029801324503311258,0.47000000000000003,30,876,91,2961,0.5016480345099945,0.7556846892369884,0.6762318299181423,0.45902694316878734,0.7716966379984362,0.9701834862385321,0.24793388429752067,0.033112582781456956,perm,14
448,458,1524,1528,0.49924204143506823,0.49756827209892407,0.5390032766545326,0.4589586136329842,0.7693856998992951,0.5006553079947575,0.22718052738336714,0.49448123620309054,0.49091646197333055,443,463,1512,1540,0.501010611419909,0.4967748141847419,0.5407146247619067,0.4594898272100222,0.7688467299051422,0.5045871559633027,0.22659846547314577,0.488962472406181,0.4902828529187967,0.46,4,902,7,3045,0.501060716527938,0.7703385548256695,0.6729467936060423,0.4394242018995392,0.7714720040537116,0.9977064220183486,0.36363636363636365,0.004415011037527594,0.0,0,906,0,3052,0.5,0.7710965133906014,0.6714369640137277,0.43537803138373754,0.7710965133906014,1.0,0.0,0.0,perm,15
455,451,1531,1521,0.49924204143506823,0.500284617765935,0.5389210581256749,0.46007738236822865,0.7712981744421906,0.4983617300131062,0.22910372608257804,0.5022075055187638,0.5008748289400212,442,464,1521,1531,0.49848408287013646,0.49474849481684646,0.5383520172999796,0.45740917218508514,0.7674185463659148,0.5016382699868939,0.2251655629139073,0.4878587196467991,0.5016762431322854,0.51,694,212,2290,762,0.5078383805068294,0.3678625568468924,0.373566071997597,0.3676759163126056,0.7823408624229979,0.24967234600262123,0.23257372654155495,0.7660044150110376,0.51,688,218,2238,814,0.5130461261605317,0.3794845881758464,0.38957626312057975,0.37885510746147194,0.7887596899224806,0.2667103538663172,0.23513328776486672,0.7593818984547461,perm,16
442,464,1557,1495,0.48938858009095504,0.48885072286402864,0.5297594880799196,0.4504951069780734,0.7631444614599285,0.4898427260812582,0.22111055527763882,0.4878587196467991,0.4824086691605982,438,468,1513,1539,0.4994946942900455,0.49385160528759775,0.5393363497322406,0.4575179836279816,0.7668161434977578,0.504259501965924,0.22450025627883136,0.48344370860927155,0.48645154337328833,0.54,904,2,3035,17,0.5016813062183376,0.2326932794340576,0.09395655572095343,0.19211976346520718,0.8947368421052632,0.005570117955439056,0.2294998730642295,0.9977924944812362,0.54,900,6,3024,28,0.501275897685157,0.23446184941889844,0.09929832532681337,0.1954086376865266,0.8235294117647058,0.009174311926605505,0.22935779816513763,0.9933774834437086,perm,17
447,459,1498,1554,0.5055583628094997,0.501275897685157,0.5449407046193778,0.46359854338357576,0.7719821162444114,0.5091743119266054,0.22982005141388176,0.49337748344370863,0.4984373146548856,443,463,1491,1561,0.5063163213744315,0.500215181157219,0.5456752922411365,0.46351152621005787,0.7712450592885376,0.5114678899082569,0.22905894519131334,0.488962472406181,0.4990783375139958,0.51,677,229,2260,792,0.5033712920127648,0.37114704396159676,0.38053069990885935,0.37061571927723674,0.7757100881488737,0.2595019659239843,0.23050732039496086,0.7472406181015453,0.48,97,809,287,2765,0.5065136602061688,0.7230924709449217,0.677974459436945,0.4924893010152629,0.7736429770565193,0.9059633027522935,0.2526041666666667,0.10706401766004416,perm,18
477,429,1518,1534,0.5080848913592724,0.514555649102098,0.5470050285587328,0.47030841292049397,0.7814569536423841,0.5026212319790302,0.23909774436090225,0.5264900662251656,0.5162156180292155,459,447,1509,1543,0.5058110156644771,0.5060963172558652,0.5450716447710002,0.46573707785706536,0.7753768844221105,0.505570117955439,0.23323170731707318,0.5066225165562914,0.5159199699686667,0.5,477,429,1518,1534,0.514555649102098,0.5080848913592724,0.5470050285587328,0.47030841292049397,0.7814569536423841,0.5026212319790302,0.23909774436090225,0.5264900662251656,0.51,679,227,2214,838,0.5120110867118584,0.3832743810005053,0.3957320509450567,0.3822775166214496,0.7868544600938967,0.2745740498034076,0.2347044590390598,0.7494481236203091,perm,19
467,439,1520,1532,0.5050530570995452,0.5087092313078097,0.544265358853564,0.46642114094040554,0.7772704211060375,0.5019659239842726,0.2350276799194766,0.5154525386313465,0.5065053422790831,441,465,1499,1553,0.503789792824659,0.49780081240832197,0.5433308398037655,0.4612659589361032,0.7695738354806739,0.5088466579292268,0.22731958762886598,0.4867549668874172,0.5028720355631164,0.51,688,218,2262,790,0.5091142781919864,0.3734209196563921,0.38176529623429767,0.3730045173027002,0.7837301587301587,0.25884665792922673,0.23322033898305083,0.7593818984547461,0.51,675,231,2225,827,0.5080014842075113,0.3794845881758464,0.39150752897612967,0.3785680951960856,0.781663516068053,0.27096985583224115,0.23275862068965517,0.7450331125827815,perm,20
456,450,1565,1487,0.4909044972208186,0.4952663761901869,0.530981622937871,0.45384663478648585,0.7676819824470831,0.48722149410222804,0.22563087580405738,0.5033112582781457,0.49633396404919583,458,448,1553,1499,0.49444163719050027,0.4983360529338414,0.5343225178940034,0.4568705993512724,0.7699024139702105,0.49115334207077327,0.2277473893585281,0.5055187637969095,0.49554394180054917,0.49,239,667,779,2273,0.5042772227671067,0.6346639717028802,0.6418830973713313,0.5035594930454743,0.7731292517006803,0.7447575360419397,0.23477406679764243,0.26379690949227375,0.49,245,661,804,2248,0.5034928060780178,0.6298635674583123,0.6389608762859376,0.5024376263273083,0.7727741491921623,0.7365661861074705,0.23355576739752146,0.2704194260485651,perm,21
448,458,1540,1512,0.49519959575543204,0.4949470401198939,0.5351860916479865,0.45587830959121955,0.76751269035533,0.4954128440366973,0.22535211267605634,0.49448123620309054,0.5040338329875969,450,456,1506,1546,0.5042950985346134,0.5016209108347148,0.5437333997249698,0.46312902414925095,0.7722277722277723,0.5065530799475754,0.23006134969325154,0.4966887417218543,0.5047817231273092,0.48,93,813,247,2805,0.5108592346349804,0.732187973724103,0.6827236226928821,0.49517857443669816,0.775290215588723,0.9190694626474443,0.2735294117647059,0.10264900662251655,0.48,101,805,304,2748,0.5059361067472131,0.7198079838302173,0.6768966603041331,0.4930888753001881,0.7734309034618632,0.9003931847968545,0.24938271604938272,0.11147902869757174,perm,22
482,424,1526,1526,0.5073269327943406,0.5160044150110376,0.5462142228847083,0.47048634218241325,0.7825641025641026,0.5,0.2400398406374502,0.5320088300220751,0.5137574897508672,471,435,1507,1545,0.5093481556341587,0.5130464878095353,0.5482738720112065,0.47034981665192976,0.7803030303030303,0.5062254259501966,0.23811931243680484,0.5198675496688742,0.5141294457512029,0.5,482,424,1526,1526,0.5160044150110376,0.5073269327943406,0.5462142228847083,0.47048634218241325,0.7825641025641026,0.5,0.2400398406374502,0.5320088300220751,0.5,471,435,1507,1545,0.5130464878095353,0.5093481556341587,0.5482738720112065,0.47034981665192976,0.7803030303030303,0.5062254259501966,0.23811931243680484,0.5198675496688742,perm,23
