saccade_id,subj,task,ch_name_bci2000_format,session,trial,eccentricity,azimuth_before,elevation_before,azimuth_after,elevation_after,gaze_x_before,gaze_y_before,gaze_x_after,gaze_y_after,duration,time_to_image_onset,behavior_condition,remember_condition,typical_erp_score,peak_to_trough,trough_time,latency,amp,peak_time,polarity,4_12_hz_pow_pre_pre_pre,4_12_hz_pow_pre_pre,4_12_hz_pow_pre,4_12_hz_pow_during,4_12_hz_pow_post,4_12_hz_phase_pre_pre_pre,4_12_hz_phase_pre_pre,4_12_hz_phase_pre,4_12_hz_phase_during,4_12_hz_phase_post,4_12_hz_norm_pow_pre_pre_pre,4_12_hz_norm_pow_pre_pre,4_12_hz_norm_pow_pre,4_12_hz_norm_pow_during,4_12_hz_norm_pow_post,no_erp_phase_pre_pre_pre,no_erp_phase_pre_pre,no_erp_phase_pre
31,BJH025,BLAES_study_twosource,A1,1,38,2.96474733615828,90.6299641931485,-2.60432549887408,93.407996704892,-1.56882459063997,323.720095826657,170.352008545052,293.712724353036,293.712724353036,0.044,3.024,dislike,unknown,0.823860778391789,-2.85491142455269,0,-0.000500000000000167,-1.24965099136862,0.0419999999999998,Negative,2.52899303158364,5.40864607579173,7.50129854097492,6.88496919106652,4.0556806841879,0.147034824456237,2.59420787743487,-0.584384316497782,2.25342175729792,-1.00206888966035,-7.59185120661795,-5.71686648892238,-4.35430949631584,-4.75561065808941,-6.59780228010406,-1.86723134782339,0.724549568607278,-3.1413371711704
32,BJH025,BLAES_study_twosource,A1,1,38,1.53298014097036,94.1709880685692,-1.79955004766934,93.8881504542079,-3.30621225151993,285.446767681392,161.708478828107,288.512638030569,288.512638030569,0.033,3.639,dislike,unknown,0.930611034916682,-1.63523189344767,0.000500000000000167,0.00300000000000011,0.262407741522389,0.0419999999999998,Negative,11.0164412734428,9.91278282473434,9.78529065832229,10.9784954646321,11.6662278631964,-0.195797293148164,2.9296900537694,-0.495399789625713,1.87454590399091,-1.67895364518626,3.96425139978747,3.36086073199702,3.29115838566022,3.94350571805512,4.31950185319676,-0.61343046808271,2.75661695989589,-0.0907431308583238
33,BJH025,BLAES_study_twosource,A1,1,39,1.01258957319678,92.7530245746205,-1.91735620781734,92.7023553633068,-0.906035153566172,300.797880827039,162.952832837415,301.345646346736,301.345646346736,0.055,-0.00999999999999979,like,unknown,0.790857141165678,-3.36653478492591,0.00349999999999984,0.00450000000000017,-4.07079435043358,0.0419999999999998,Negative,3.94573597938655,3.02433021376478,6.01988898448062,9.2337373091743,12.135065372997,-0.504556702734795,1.60400029666657,-2.21676494483237,0.303916745418393,-3.01321423908769,-31.9579668730951,-37.8352892152951,-18.7276765354235,1.7723282050698,20.2788764466581,2.2242920146293,-1.3136647497352,2.09979415248794
34,BJH025,BLAES_study_twosource,A1,1,39,3.2269389966486,97.1110409517976,-0.813258179400478,94.0634056852986,-1.87394407564073,253.418339513237,151.08084351873,286.613178708578,286.613178708578,0.039,3.137,like,unknown,0.770453008142623,-1.17473683121404,0.0165000000000002,0.00199999999999978,0.504293590911063,0.0379999999999998,Negative,12.9245962326958,14.0886109335888,14.8910432145718,14.6109367380568,13.0859208099023,1.8487280826859,-1.76205836057594,0.896861182369156,-3.07423556113516,-0.303800327357863,38.4407167280174,42.9818215137914,46.1123052341737,45.0195416633592,39.070083186236,1.9464458305176,-1.04659953768509,2.89936587811118
35,BJH025,BLAES_study_twosource,A1,1,39,2.28335263693527,92.9537316050451,-1.69358052744035,93.0466904444157,-3.97504013014695,298.627647516594,160.537159380484,297.622226436619,297.622226436619,0.04,5.226,like,unknown,0.536667151177663,1.43125169349885,-0.00850000000000017,-0.00850000000000017,1.5727147598799,0.0425,Positive,9.88838015455261,7.04680985940129,2.67563509483967,1.48621556211962,1.99346394562393,-1.72030943979125,1.20026606988311,-2.24072851500287,-0.938245218067125,1.38533597875901,0.814178441266341,-1.00118761517745,-3.79375702931763,-4.55362978356748,-4.2295689995809,1.6869068770443,-1.66866539190368,0.118490113748779
36,BJH025,BLAES_study_twosource,A1,1,40,0.347243659988428,93.4449621146866,-2.2700890455911,93.5551847425506,-1.94080325526766,293.312581063554,166.782997634852,292.119256958296,292.119256958296,0.023,-0.728,dislike,unknown,0.80227392638567,3.08341822312618,-0.00950000000000006,-0.00700000000000012,5.5414259079197,0.0415000000000001,Positive,7.09616182067365,8.26568605594255,9.59444824034049,8.25591169035352,4.99301096125161,-2.50363698236959,0.731157668705301,-2.40567474039765,1.06684546820297,-2.19450001801507,4.1853435080107,5.33901253660732,6.64976073000226,5.32937068181357,2.11070500475324,-0.839154873101579,2.30156419009513,-0.0605236773058482
37,BJH025,BLAES_study_twosource,A1,1,40,2.78406123012277,93.1879414608223,-6.35901261019964,93.6265877730919,-3.60972427577471,296.094154268711,211.219272144656,291.346061101483,291.346061101483,0.04,3.187,dislike,unknown,-0.177637704867181,3.22830439548554,0.0139999999999998,-0.00749999999999984,-0.0312145259842044,0.0369999999999999,Positive,8.05247188846548,8.40033874149883,6.92287130085807,5.11230913154947,5.44844339353845,-2.69980481296944,0.449621147865069,-3.05247419121237,-0.434247393936971,1.78202630377293,3.25446232844395,3.47092733163504,2.55155260114767,1.42490502797555,1.6340692626809,-2.47968087614429,0.0598702635208411,3.13182278920027
38,BJH025,BLAES_study_twosource,A1,1,42,2.58300835340873,93.6868614513867,0.718215507990629,93.4236283752977,-1.85134486324645,290.693285725185,134.477099870298,293.543518367139,293.543518367139,0.042,3.154,like,unknown,-0.582104318877474,0.55663252487916,-0.00749999999999984,-0.00649999999999995,0.00192517132258715,0.0335000000000001,Positive,6.3076226627274,6.74047511056694,6.17551440662663,9.02311652252586,11.8807729135051,1.67029362204002,-1.46309750108641,1.23216617860409,-2.25734332671444,0.467901655917714,7.40082583268549,8.55980506603253,7.04710084825097,14.6716660635683,22.3231519907408,2.02275995028704,-0.398566870666234,3.11587904981486
39,BJH025,BLAES_study_twosource,A1,1,43,1.75466470750243,92.8781404956758,-1.98792191714022,93.5676533924477,-3.60143367753732,299.445098954757,163.718035858701,291.984247457738,291.984247457738,0.039,-0.347,dislike,unknown,0.867531918693881,-6.28845795803221,0.00599999999999978,0.004,-3.12161280835212,0.0375000000000001,Negative,6.49913686637358,6.19957749760391,4.29313394663509,3.16630186620607,7.46016962862957,1.77087403490377,-1.21900671776729,1.68064726672693,-3.04242389380252,-0.714539881970107,2.92510199900076,2.65051182522928,0.902976209514462,-0.12993095024856,3.8060297238514,0.175925426164051,3.09877151462771,-0.0279291591351963
40,BJH025,BLAES_study_twosource,A1,1,43,3.48175457699481,90.0782082378331,-0.877102668594646,93.3297897443988,-2.12202541342053,329.671683222705,151.70163729305,294.559198392716,294.559198392716,0.042,3.133,dislike,unknown,0.691917208337644,3.25316228739981,-0.00499999999999989,-0.004,2.2201799340628,0.0390000000000001,Positive,4.93007467437566,4.23184089426939,1.5887289637066,4.39860512852754,9.46842034715535,-3.05106293157874,-0.0573094328574351,2.7009025007729,-2.30996153094981,0.852359649796693,-2.54647893787514,-2.9750922942641,-4.59757620745686,-2.87272345991732,0.239401130785109,-2.31982547317871,1.57592842422743,0.116176867772718
