fold,perm,train_tn,train_fp,train_fn,train_tp,train_accuracy,train_bal_acc,train_f1_macro,train_f1_weighted,train_roc_auc,train_prec_left,train_prec_right,train_rec_left,train_rec_right,test_tn,test_fp,test_fn,test_tp,test_accuracy,test_bal_acc,test_f1_macro,test_f1_weighted,test_roc_auc,test_prec_left,test_prec_right,test_rec_left,test_rec_right,train_sac_tn,train_sac_fp,train_sac_fn,train_sac_tp,train_sac_accuracy,train_sac_bal_acc,train_sac_f1_macro,train_sac_f1_weighted,train_sac_roc_auc,train_sac_prec_left,train_sac_prec_right,train_sac_rec_left,train_sac_rec_right,test_sac_tn,test_sac_fp,test_sac_fn,test_sac_tp,test_sac_accuracy,test_sac_bal_acc,test_sac_f1_macro,test_sac_f1_weighted,test_sac_roc_auc,test_sac_prec_left,test_sac_prec_right,test_sac_rec_left,test_sac_rec_right,train_sac_opt_tn,train_sac_opt_fp,train_sac_opt_fn,train_sac_opt_tp,train_sac_opt_accuracy,train_sac_opt_bal_acc,train_sac_opt_f1_macro,train_sac_opt_f1_weighted,train_sac_opt_roc_auc,train_sac_opt_prec_left,train_sac_opt_prec_right,train_sac_opt_rec_left,train_sac_opt_rec_right,train_sac_opt_thr,test_sac_opt_tn,test_sac_opt_fp,test_sac_opt_fn,test_sac_opt_tp,test_sac_opt_accuracy,test_sac_opt_bal_acc,test_sac_opt_f1_macro,test_sac_opt_f1_weighted,test_sac_opt_roc_auc,test_sac_opt_prec_left,test_sac_opt_prec_right,test_sac_opt_rec_left,test_sac_opt_rec_right,test_sac_opt_thr
3,27,332036,77,239648,73041,0.6282192052754179,0.6166790380075108,0.5566990065108033,0.5620628488274654,0.9120798531784864,0.9997681512015488,0.9989469077381766,0.5808033808887427,0.23358992481347282,79652,3435,74467,3359,0.515875038064047,0.5009090879269295,0.37548762543542613,0.3851684372771308,0.5008319099004711,0.9586577924344362,0.49440682955549015,0.5168214172165664,0.04316038341942281,1575,0,1579,0,0.49936588459099557,0.5,0.3330513850708395,0.33262899904031207,0.519741045668848,1.0,,0.49936588459099557,0.0,392,0,396,0,0.49746192893401014,0.5,0.33220338983050846,0.3305170782070033,0.5392960214388786,1.0,,0.49746192893401014,0.0,820,755,758,821,0.520291693088142,0.5202921278285433,0.5202916448651775,0.5202918377570355,0.519741045668848,0.5206349206349207,0.5209390862944162,0.5196451204055766,0.5199493350221659,0.485,200,192,183,213,0.5241116751269036,0.5240414347557205,0.5239821191252869,0.5240219825103998,0.5392960214388786,0.5102040816326531,0.5259259259259259,0.5221932114882507,0.5378787878787878,0.485
4,27,331885,172,222585,89307,0.6540766427154946,0.6429107593885379,0.5968702251353379,0.6016256745598689,0.9265291306491583,0.9994820166417212,0.9980777612624191,0.5985625913034068,0.28633950213535453,78448,4695,74270,4353,0.511856632419668,0.4994482515779687,0.3822542151373349,0.39016032116495003,0.5015094117817697,0.943531024860782,0.48110079575596815,0.5136788066894538,0.05536547829515536,1560,0,1594,0,0.49461001902346224,0.5,0.3309291472210437,0.32736174360483716,0.5154686645433195,1.0,,0.49461001902346224,0.0,407,0,381,0,0.516497461928934,0.5,0.34058577405857743,0.3518233757407132,0.48328142028929433,1.0,,0.516497461928934,0.0,1022,538,1010,584,0.5091946734305643,0.5107510536306019,0.49954324943992706,0.4987940521438502,0.5154686645433195,0.6551282051282051,0.5204991087344029,0.5029527559055118,0.36637390213299875,0.485,0,407,0,381,0.48350253807106597,0.5,0.32591958939264326,0.3151658973568454,0.48328142028929433,0.0,0.48350253807106597,,1.0,0.0
0,28,331338,175,234423,77971,0.6356647776775217,0.624531989395823,0.568921020302439,0.5739574847877673,0.914963061124712,0.9994721172322051,0.9977606019501958,0.5856501243457927,0.24959186155944096,79428,4259,74221,3900,0.5149807178878671,0.49951527087176073,0.3798664480321274,0.3898236298192401,0.5008544693298638,0.9491079857086525,0.4779997548719206,0.5169444643310402,0.04992255603486898,1600,0,1553,0,0.507453219156359,0.5,0.3366294971596886,0.34164744399334074,0.5291548615582743,1.0,,0.507453219156359,0.0,395,0,394,0,0.5006337135614702,0.5,0.33361486486486486,0.3340376973932107,0.5045878044078905,1.0,,0.5006337135614702,0.0,1136,464,1043,510,0.5220424992071043,0.5191983258209916,0.5024289669452946,0.5039015484409896,0.5291548615582743,0.71,0.5236139630390144,0.5213400642496558,0.3283966516419833,0.486,31,364,17,377,0.5171102661596958,0.5176669022682002,0.4021360169449389,0.4018037214269771,0.5045878044078905,0.07848101265822785,0.5087719298245614,0.6458333333333334,0.9568527918781726,0.484
1,28,332537,119,239109,73386,0.6291906855914352,0.617240615261128,0.5578469875767006,0.563397266355,0.9125838264097618,0.999642273098937,0.9983810625127543,0.5817184061464613,0.23483895742331878,78825,3719,74532,3488,0.5126491617049899,0.4998258634211863,0.37507040566543337,0.38333203397984666,0.49957863399422586,0.9549452413258384,0.48397391425003466,0.5139967526751306,0.04470648551653422,1618,0,1535,0,0.513162067871868,0.5,0.3391322573883882,0.3480596209669598,0.5082266682235277,1.0,,0.513162067871868,0.0,377,0,412,0,0.47782002534854245,0.5,0.32332761578044594,0.30898481913619297,0.5073073060183874,1.0,,0.47782002534854245,0.0,669,949,604,931,0.507453219156359,0.5099940409803393,0.5040286079938092,0.5029437120911694,0.5082266682235277,0.4134734239802225,0.4952127659574468,0.5255302435192458,0.606514657980456,0.484,111,266,110,302,0.523447401774398,0.5137197084803379,0.4937819944031124,0.4992180638166988,0.5073073060183874,0.29442970822281167,0.5316901408450704,0.502262443438914,0.7330097087378641,0.484
2,28,332628,91,240456,71876,0.6270884007621103,0.614926706081084,0.5542503727428634,0.5599452432605523,0.9135274238010526,0.9997264959320027,0.9987355315630775,0.5804175304143895,0.23012691623016535,79039,3442,74997,3186,0.5117823532340786,0.4995098619689436,0.37174482029602196,0.3796796589519455,0.498786334102271,0.9582691771438271,0.4806879903439952,0.5131203095380301,0.04075054679406009,1592,0,1562,0,0.5047558655675333,0.5,0.33544037083860095,0.3386309894578648,0.5223351874609926,1.0,,0.5047558655675333,0.0,403,0,385,0,0.5114213197969543,0.5,0.33837111670864817,0.3461004061766122,0.5102897102897103,1.0,,0.5114213197969543,0.0,367,1225,313,1249,0.5123652504755866,0.5150717576358104,0.47099650679099375,0.46958940666566745,0.5223351874609926,0.2305276381909548,0.5048504446240906,0.5397058823529411,0.7996158770806658,0.483,29,374,24,361,0.4949238578680203,0.5048113177145435,0.38591791979949874,0.38000795930180786,0.5102897102897103,0.07196029776674938,0.49115646258503404,0.5471698113207547,0.9376623376623376,0.483
3,28,332189,72,238176,74365,0.630509830924842,0.6188600427897464,0.5601936205569292,0.5655718462785658,0.9167189295752085,0.9997833028853823,0.9990327390948051,0.5824147694897127,0.23793678269411053,79295,3644,74459,3515,0.5146259158675807,0.5005716121196854,0.3763003568619279,0.38536325473027133,0.5024186378534808,0.9560640952989546,0.4909903617823718,0.5157264201256553,0.04507912894041603,1561,0,1593,0,0.4949270767279645,0.5,0.3310710498409332,0.3277120537740626,0.516664233696992,1.0,,0.4949270767279645,0.0,434,0,354,0,0.550761421319797,0.5,0.35515548281505727,0.3912118770094793,0.5156343565310214,1.0,,0.550761421319797,0.0,1282,279,1263,330,0.5110970196575777,0.5142123632660989,0.462089770934009,0.46044246845590586,0.516664233696992,0.8212684176809737,0.541871921182266,0.5037328094302554,0.2071563088512241,0.486,287,147,214,140,0.5418781725888325,0.5283852742846729,0.525360608007208,0.5343497587999287,0.5156343565310214,0.6612903225806451,0.4878048780487805,0.5728542914171657,0.3954802259887006,0.485
4,28,331386,265,216708,95590,0.6630587204887344,0.652643410588915,0.6108855429592382,0.615167666085705,0.9310558013785988,0.9992009672818716,0.9972354076469667,0.604615266724321,0.3060858538959583,78270,5279,73230,4987,0.5146755189594847,0.5002870196998886,0.3893555058265607,0.39847366842941195,0.4996422852910895,0.9368155214305378,0.4857782972920319,0.5166336633663366,0.06375851796923943,1609,0,1545,0,0.510145846544071,0.5,0.33781230317027083,0.3446670867476004,0.5217178452113014,1.0,,0.510145846544071,0.0,386,0,402,0,0.48984771573604063,0.5,0.3287904599659284,0.3221145115402243,0.5114002526228959,1.0,,0.48984771573604063,0.0,1406,203,1295,250,0.5250475586556753,0.5178234888300237,0.451343222572921,0.45542373944947484,0.5217178452113014,0.8738346799254195,0.5518763796909493,0.5205479452054794,0.16181229773462782,0.487,204,182,191,211,0.5266497461928934,0.5266865156084861,0.5266123901786937,0.5266977753540073,0.5114002526228959,0.5284974093264249,0.5368956743002544,0.5164556962025316,0.5248756218905473,0.485
0,29,331608,89,227404,84806,0.6466989798216202,0.6356814783265622,0.5858573211881808,0.5906612587648205,0.9376807725003661,0.9997316828310174,0.9989516461511279,0.59320372371255,0.2716312738221069,79382,4121,74445,3860,0.5144492237713834,0.499971452669329,0.37921436805451303,0.38852226217829544,0.4990469530337236,0.9506484796953403,0.4836486655807543,0.5160472478823613,0.0492944256433178,1620,0,1533,0,0.5137963843958135,0.5,0.33940917661847897,0.34877441555466915,0.5050075298172712,1.0,,0.5137963843958135,0.0,396,0,393,0,0.5019011406844106,0.5,0.3341772151898734,0.3354478509890744,0.4881705091628755,1.0,,0.5019011406844106,0.0,498,1122,445,1088,0.5030130034887409,0.5085634558237297,0.4849794789264059,0.4823202981858582,0.5050075298172712,0.3074074074074074,0.49230769230769234,0.528101802757158,0.7097195042400521,0.484,50,346,40,353,0.5107731305449936,0.5122407278895829,0.4261407316962873,0.4253027871532308,0.4881705091628755,0.12626262626262627,0.5050071530758226,0.5555555555555556,0.8982188295165394,0.484
1,29,332718,46,245534,66853,0.6193449285516104,0.6069343744092389,0.54147654859134,0.5474447052815792,0.9280696513820041,0.9998617638927287,0.9993123962988983,0.5753858179478843,0.21400698492574916,79396,3040,75302,2826,0.5120824095064896,0.4996471592427141,0.3684601751496664,0.37654068429958404,0.4991544256769053,0.9631229074676112,0.4817592908285032,0.5132322331251858,0.036171411017816915,1618,0,1535,0,0.513162067871868,0.5,0.3391322573883882,0.3480596209669598,0.5138458627090187,1.0,,0.513162067871868,0.0,398,0,391,0,0.5044359949302915,0.5,0.33529907329401853,0.33827384327254595,0.5170802863421969,1.0,,0.5044359949302915,0.0,786,832,705,830,0.5125277513479226,0.5132507660158719,0.5124328020207912,0.5122536930627934,0.5138458627090187,0.4857849196538937,0.4993983152827918,0.5271629778672032,0.5407166123778502,0.484,360,38,336,55,0.5259822560202788,0.5225937873510776,0.4427040053182649,0.44461530943273736,0.5170802863421969,0.9045226130653267,0.5913978494623656,0.5172413793103449,0.14066496163682865,0.485
2,29,332554,67,236709,75721,0.6329344501442522,0.6210800292583218,0.5637801921557402,0.5692167739931444,0.9287532164201484,0.9997985695431136,0.999115955032459,0.5841834090745402,0.24236148897353008,78952,3627,74655,3430,0.5127595478763133,0.5000024561189383,0.37456455622924234,0.3827879652022825,0.5004264240424267,0.9560784218748107,0.486042227575457,0.5139869927802769,0.04392649036306589,1620,0,1534,0,0.5136334812935954,0.5,0.33933808127356513,0.34859080004006054,0.49898232652469937,1.0,,0.5136334812935954,0.0,396,0,392,0,0.5025380710659898,0.5,0.3344594594594595,0.33615722321306085,0.5209299628942486,1.0,,0.5025380710659898,0.0,42,1578,31,1503,0.489854153455929,0.5028586604857791,0.35048517283902425,0.34228138616342274,0.49898232652469937,0.025925925925925925,0.4878286270691334,0.5753424657534246,0.9797913950456323,0.481,330,66,308,84,0.5253807106598984,0.5238095238095238,0.47413048598571095,0.4749638229722831,0.5209299628942486,0.8333333333333334,0.56,0.5172413793103449,0.21428571428571427,0.485
3,29,332022,98,236366,76316,0.6332765717227924,0.6218869900566153,0.5648419057824761,0.570044102979835,0.9269534490389684,0.9997049259303866,0.9987175124977098,0.5841467448292363,0.24406905418284391,79133,3947,74192,3641,0.514402192489109,0.49963560899101894,0.3773590619999857,0.386884115060925,0.4972310531144045,0.9524915743861339,0.4798365840801265,0.5161128322191424,0.04677964359590405,1608,0,1546,0,0.5098287888395688,0.5,0.3376732465350693,0.344311084608999,0.5097088940806962,1.0,,0.5098287888395688,0.0,408,0,380,0,0.5177664974619289,0.5,0.3411371237458194,0.3532587474322191,0.5092556759545923,1.0,,0.5177664974619289,0.0,887,721,820,726,0.5114140773620799,0.5106079402470185,0.5101376313459409,0.5106291819856963,0.5097088940806962,0.5516169154228856,0.5017277125086386,0.5196250732278852,0.46959896507115134,0.485,384,24,350,30,0.5253807106598984,0.510061919504644,0.40537661310499007,0.41486846262910704,0.5092556759545923,0.9411764705882353,0.5555555555555556,0.5231607629427792,0.07894736842105263,0.486
4,29,331484,114,226937,85414,0.6474084127780305,0.63655569683096,0.5871192866911101,0.5918349562558477,0.9327741506607767,0.9996562102304598,0.9986671031708914,0.5936094810188012,0.27345518343146014,78885,4717,73761,4403,0.5148671537900424,0.49995409237953714,0.3843521145510736,0.3938811387902389,0.50059490838046,0.9435779048348125,0.48278508771929823,0.5167839314492355,0.05633027992426181,1598,0,1556,0,0.5066582117945466,0.5,0.3362794612794613,0.34075750103017066,0.5086246143154521,1.0,,0.5066582117945466,0.0,418,0,370,0,0.5304568527918782,0.5,0.3466003316749585,0.36771304223383927,0.5116384326910642,1.0,,0.5304568527918782,0.0,833,765,781,775,0.5098287888395688,0.5096742875895641,0.5096629725094204,0.5097830464036658,0.5086246143154521,0.5212765957446809,0.5032467532467533,0.5161090458488228,0.4980719794344473,0.485,377,41,328,42,0.5317258883248731,0.5077136945557998,0.4284231569884357,0.44322474237395504,0.5116384326910642,0.9019138755980861,0.5060240963855421,0.5347517730496454,0.11351351351351352,0.486
0,30,331626,58,252292,59931,0.6080955790199516,0.5958872393326289,0.5232075691874144,0.5292879370975747,0.8947882753883866,0.9998251347668262,0.9990331560786144,0.5679324836706524,0.19194934389843157,80250,3266,75241,3051,0.5148138534559478,0.4999316098815071,0.3718242180964812,0.3815002223856281,0.5011667400585429,0.9608937209636477,0.4829824283678962,0.5161070415651067,0.038969498799366474,1688,0,1465,0,0.5353631462099587,0.5,0.3486882875438959,0.3733497173321258,0.517381476149653,1.0,,0.5353631462099587,0.0,415,0,374,0,0.5259822560202788,0.5,0.3446843853820598,0.36259574127643807,0.5115069905289608,1.0,,0.5259822560202788,0.0,183,1505,126,1339,0.48271487472248653,0.5112027481681575,0.4023824086094331,0.38688574775890466,0.517381476149653,0.10841232227488151,0.47081575246132207,0.5922330097087378,0.9139931740614334,0.483,257,158,217,157,0.5247148288973384,0.5195316023452097,0.5169553370415055,0.520136728702397,0.5115069905289608,0.619277108433735,0.4984126984126984,0.5421940928270043,0.4197860962566845,0.485
1,30,332615,56,256422,56058,0.602452759121508,0.5896143734662987,0.512954119076556,0.5194882767407902,0.8959831757514778,0.9998316655193871,0.9990020315785721,0.5646759032115131,0.17939708141321045,79699,2830,75359,2676,0.5130353005655066,0.5000006641149132,0.36748403134867796,0.37597639601715915,0.5017642094658404,0.9657090234947715,0.4860152560842717,0.5139947632498807,0.034292304735054784,1675,0,1478,0,0.5312400888043134,0.5,0.34693454846727423,0.3686110806740782,0.5112794619594854,1.0,,0.5312400888043134,0.0,428,0,361,0,0.5424588086185045,0.5,0.35168447000821695,0.381548677220575,0.5275519714189556,1.0,,0.5424588086185045,0.0,1174,501,999,479,0.5242626070409134,0.5124910629531638,0.49996743629778617,0.506853981098356,0.5112794619594854,0.7008955223880597,0.4887755102040816,0.5402669121030833,0.32408660351826796,0.485,146,282,102,259,0.5133079847908745,0.5292865094364045,0.5031160209396607,0.4970729981252241,0.5275519714189556,0.3411214953271028,0.4787430683918669,0.5887096774193549,0.7174515235457064,0.484
