train_circ_mse_rad_ch,test_circ_mse_rad_ch,train_circ_mse_deg_ch,test_circ_mse_deg_ch,fold,perm,train_circ_mse_rad_sac,train_circ_mse_deg_sac,test_circ_mse_rad_sac,test_circ_mse_deg_sac
3.2756647694969465,3.3010051963380116,10753.373105814333,10836.56081996019,4,8,3.10650364082742,10198.049878442855,3.365872888995969,11049.50889332834
3.276485303376198,3.3030533591810647,10756.066759643543,10843.284541947221,0,9,3.1313137727206635,10279.496736966626,3.4368350662398095,11282.463979395081
3.2735170173965953,3.2894826360132843,10746.32245158105,10798.734485757783,1,9,3.0711807902088766,10082.09180013179,3.1669219950091168,10396.391635207789
3.272678109091906,3.299417589612621,10743.568478071336,10831.349014520756,2,9,3.1103853265304253,10210.792700917433,3.3777099186572506,11088.367569465672
3.273492381886273,3.289621724149,10746.241577971325,10799.191085172917,3,9,3.1022250220547094,10184.004001566522,3.220529118655654,10572.37344112051
3.2760280908119013,3.290844591282873,10754.565819334157,10803.20552116522,4,9,3.0910398167246123,10147.285138482694,3.459156235459298,11355.740055448503
3.274364740890099,3.3002449299299172,10749.105363648574,10834.065012567995,0,10,3.1277552731350937,10267.814871930603,3.5206885476239145,11557.738720553409
3.278613765235717,3.2834878391214257,10763.054087751721,10779.054728454155,1,10,3.166167101578681,10393.913466260772,3.1827895949675016,10448.48189311062
3.2730251397186896,3.2878568724474193,10744.70771241659,10793.397418800145,2,10,3.07325133188737,10088.888987501909,3.3465880117801157,10986.200375944942
3.277276582902981,3.2884501949255847,10758.664377098694,10795.345181599067,3,10,3.1553849054883987,10358.517604468521,3.3582473197964955,11024.475626337853
3.270744182763536,3.2902986298789463,10737.219772440107,10801.413235601543,4,10,3.0556378093685805,10031.06720393115,3.272421079084072,10742.724698329477
3.268153001153619,3.300968351051471,10728.713424997046,10836.43986401957,0,11,3.0482705236244025,10006.881831507812,3.4666592618892595,11380.371038257086
3.276181304552765,3.2917646595986696,10755.068790375577,10806.22592727476,1,11,3.1522168254958527,10348.117411351648,3.1956562397861545,10490.72059642464
3.2767299065290594,3.289078168939703,10756.869744426982,10797.406698680257,2,11,3.0962496854792914,10164.388128713284,3.2936937645802855,10812.558805358247
3.2742064358168066,3.2800234855161685,10748.585678748736,10767.681926440131,3,11,3.116421000081694,10230.606648378132,3.144271270370534,10322.03369253188
3.2744133533741246,3.2872807035327596,10749.264949019827,10791.505967828418,4,11,3.1294055629683672,10273.232453874634,3.31043017726229,10867.501207187148
3.2795983432392553,3.290305703778529,10766.286266673818,10801.436457844015,0,12,3.135662650926752,10293.773261957,3.264454445073219,10716.571781610428
3.276575864244831,3.3034209757537734,10756.364053438148,10844.491355966478,1,12,3.1632337144566933,10384.283724389668,3.4515832491479244,11330.879407896975
3.2825494891877907,3.2902396682126485,10775.974307333487,10801.219675869015,2,12,3.2147398310815034,10553.368331110043,3.307185298336902,10856.848898045866
