train_mse_sin_ch,train_mse_cos_ch,train_mean_abs_ch_err,train_rmse_ch_err,train_mse_sin_sac,train_mse_cos_sac,train_sac_mean_abs_err,train_sac_rmse_err,test_mse_sin_ch,test_mse_cos_ch,test_mean_abs_ch_err,test_rmse_ch_err,test_mse_sin_sac,test_mse_cos_sac,test_sac_mean_abs_err,test_sac_rmse_err,fold,perm,max_depth,min_samples_leaf,n_estimators
0.3396760882643663,0.4073380988533602,14.549470824404082,19.195665360849283,0.3408334180054228,0.4030016787694028,6.544456492753711,7.875926229615676,0.42271547663411113,0.5783516241510155,88.42588225871978,102.80155804023607,0.42323196468951596,0.5739131236864194,86.31408117211545,99.23520186147304,4,obs,40,10,500
0.2741745738451109,0.3280100052772324,11.843830694140776,15.589281417645884,0.2726823059429064,0.3213590178339809,4.2325574385822895,5.2318807770164355,0.4354138155466069,0.5749727568063984,89.6811016845038,103.94865514066643,0.4337363442327287,0.5671173205217448,89.15891511923766,104.258326753906,0,obs,40,5,100
0.27735489150163983,0.33580448794671636,11.635619716323008,15.202885417220797,0.27638686677122903,0.3291453944819937,3.511543805784315,4.320207144117226,0.44873595704477365,0.5569456289010033,88.76316630096409,103.1134922005824,0.4458773826313109,0.5511015612191943,86.29709116107543,99.19269048986845,1,obs,40,5,100
0.2661482920764974,0.32279952969862863,11.47037440939249,14.848908434447825,0.2646829123584706,0.3167164399948834,4.142411378537772,5.0497024706848554,0.4585965272631003,0.5505052973113729,89.67020658671147,103.7878672863775,0.4591139738039159,0.5405858409946581,90.52717700778862,103.28244114574056,2,obs,40,5,100
0.2674963055529382,0.3179122587978891,11.468023770476904,14.899729823650071,0.2657198876080544,0.312204789519615,4.088385860374058,4.969760163924454,0.4341970449340565,0.5758191382299455,89.68163255569254,103.89141770998023,0.4358410000853053,0.5642249184746252,88.6017461594543,101.78580403520492,3,obs,40,5,100
0.280601055399901,0.3340773754315128,11.632303492841242,15.202478070838898,0.27952631914051096,0.3277115756843349,3.6701752836693937,4.3970528379537654,0.42464286960923664,0.5807857671174393,88.8537925083428,103.1773569098693,0.42333558287094586,0.5738857999350915,86.64353363246926,99.5171586414345,4,obs,40,5,100
0.27334204995843375,0.3267540253670618,10.221031904326958,13.285040789634653,0.27255341932407845,0.3210819697861695,4.222888240855385,5.214609654731707,0.43460619273727324,0.5739470169026905,89.71717796792628,104.04232996949132,0.4337260356035043,0.5672499679432733,89.12740300971174,104.09365580470674,0,obs,40,5,200
0.2761620429166281,0.3341707251146044,9.943823055355555,12.811015335150477,0.27586117451223874,0.3284927659930432,3.4822363102782976,4.291225275452487,0.4480563070802937,0.555835837457026,88.68918938679661,103.01988950599015,0.44591909570826077,0.5511141879110676,86.40459827404958,99.16013693230832,1,obs,40,5,200
0.26581499878900944,0.3222800319144966,9.953687193716902,12.741315505187732,0.2650353828905196,0.3171953255007125,4.129411668588566,5.028602225444176,0.4579292921149566,0.5489643206461964,89.68550917818,103.74491356131144,0.4592952197808829,0.540291628828522,90.34176505623039,103.18143921881574,2,obs,40,5,200
0.26627921967050044,0.3162196076138256,9.892253271147233,12.731405072626243,0.2652274964641239,0.3115084909800713,4.045300255534708,4.9213456395999975,0.4333241390607921,0.5747622748052323,89.73274912608703,103.94528115958876,0.4358074251329408,0.564339841505313,88.92946127162435,102.14063944141864,3,obs,40,5,200
