perm,fold,epoch,train_mse_sin_ch,train_mse_cos_ch,train_mse_ang_ch,train_mse_sin_sac,train_mse_cos_sac,train_mse_ang_sac,test_mse_sin_ch,test_mse_cos_ch,test_mse_ang_ch,test_mse_sin_sac,test_mse_cos_sac,test_mse_ang_sac
obs,0,11,0.6541880877033502,1.2739415124589168,10374.124564767773,0.561137736293798,1.2599584905830172,10384.799753427242,0.6437840419698337,1.3562216920626275,10984.033902588799,0.5487366068232133,1.3357563762810392,11044.57703068834
obs,0,12,0.6624579661914491,1.264136621873686,10363.997287563974,0.5621974213096367,1.247316732457343,10376.91568889547,0.6523157993587981,1.3470471295540094,10963.219486566411,0.5513993259768418,1.3234879221505962,11006.52163799481
obs,0,13,0.6766991602662872,1.2495883691053715,10370.471407749776,0.5554354859073611,1.2286816455051996,10414.038581681418,0.6696738226161362,1.330677264315658,10958.397246728362,0.5476202598434634,1.3027523127971343,11023.956893029894
obs,0,14,0.7263072404966554,1.2000853641325249,10313.05162252734,0.5640083855915513,1.1655561440206719,10371.13205284644,0.719553304657212,1.2803468244681078,10897.699091931252,0.5571756751826673,1.2394350516886448,10981.016005082021
obs,0,15,0.7002158168558994,1.225796247358814,10304.82540930642,0.5982033000238521,1.2053072879939914,10289.975540952208,0.6879650385693671,1.3060576534106674,10879.42703124529,0.5852412714335791,1.2788815392459123,10902.163945181019
obs,0,16,0.788699099437076,1.136932140750249,10243.364211401164,0.617306433753732,1.098128391884034,10234.05798079847,0.780120390628401,1.2114155034565455,10769.756909938571,0.6083133315122496,1.166369439950535,10810.301984889551
obs,0,17,0.7071203567726694,1.2182805588250376,10294.720493244024,0.5921546932346075,1.1961894002693032,10292.744464117906,0.6953986609047934,1.2993173557454096,10879.004470226895,0.5797775696884054,1.2704364752901325,10904.441461871174
obs,0,18,0.7442181840354937,1.1805356983063686,10286.334590487508,0.5876958123750697,1.1396703757813043,10285.565568613327,0.7370346045525682,1.2583538861257677,10848.729601311596,0.5799152589797747,1.211075297055093,10897.630413486111
obs,0,19,0.6513617591104605,1.274356320774729,10407.33592574719,0.5361569870262272,1.2556499360164919,10466.447424378659,0.6467112384776251,1.3565696107799419,11019.276870209338,0.5309242954387434,1.330750978230977,11092.790669188904
obs,0,20,0.8143291811318688,1.1107407631749062,10218.998248147787,0.6328547347232769,1.054365392920269,10158.978370939083,0.8049765896495137,1.1833686601844602,10717.469374739,0.6228541572509453,1.1209490488986058,10727.429992559297
obs,0,21,0.6812802957164394,1.24314220502355,10415.289782673595,0.5236746586160909,1.204770500278566,10513.724531839098,0.6810276460640062,1.3249480210458022,11013.57506196164,0.523056247778413,1.2797375863851117,11146.756921988612
obs,0,22,0.6971599082344008,1.2268130973774363,10365.989029808676,0.542423192999795,1.1895026665978845,10423.706070053582,0.6942386607446452,1.3071369077116952,10950.101587991685,0.5388496070096209,1.2626756256307508,11043.95335875733
obs,0,23,0.711261778667314,1.2124856381901195,10344.413861100458,0.544552726230556,1.1751194253094048,10410.088601423238,0.7082590482415233,1.2938028991707118,10939.666772346336,0.5414167761551991,1.2496793286595909,11037.57819421179
obs,0,24,0.7022499030119779,1.2215148007085064,10318.745335817128,0.5624045354403883,1.1971211868397842,10359.943129769263,0.69660315680561,1.3024475003802727,10917.096604422848,0.556477079026393,1.2714094791812298,10989.643558578233
obs,0,25,0.6914152031884846,1.2325009231187447,10379.044253720122,0.535598514738475,1.1944499567897453,10459.067845219963,0.6892174931110429,1.314335401211153,10979.17427093472,0.5337783711991323,1.2693003218308045,11090.927291418422
obs,0,26,0.7274223049867499,1.1978428884508963,10277.480809881896,0.5927102735224054,1.1570962408638321,10243.99290660948,0.7158554944685993,1.2805059978709283,10878.746969819813,0.5800628790380844,1.2332957287563395,10913.600752679606
obs,0,27,0.7806191151707215,1.1431233763541704,10256.294721590906,0.6094896969790577,1.0851241297209167,10212.680272692052,0.771968930024041,1.2183937337913322,10776.072244452738,0.6012459425768859,1.1539401610544187,10793.61127241605
obs,0,28,0.7260053471393974,1.196767901237245,10299.430963655157,0.5578554049548353,1.1609786125283248,10335.280792271726,0.720574207954024,1.2781900037317002,10900.896851224597,0.5523756498578706,1.2358771748198483,10982.942774809168
