train_mse_sin_ch,train_mse_cos_ch,train_mean_abs_ch_err,train_rmse_ch_err,train_mse_sin_sac,train_mse_cos_sac,train_sac_mean_abs_err,train_sac_rmse_err,test_mse_sin_ch,test_mse_cos_ch,test_mean_abs_ch_err,test_rmse_ch_err,test_mse_sin_sac,test_mse_cos_sac,test_sac_mean_abs_err,test_sac_rmse_err,fold,perm
0.41244163779620535,0.5275181872932371,53.331222035292235,71.00487579495628,0.42511440009866247,0.5729932229850158,86.02452678153091,100.1026306949362,0.43779879719691517,0.5620415213046202,88.27040842317076,102.30417019051266,0.4318744128527219,0.56847543330623,89.6508223302004,103.34012034846324,0,1
0.41533250643474046,0.5316464272873006,55.77911682676233,73.14370668231493,0.42775586661108633,0.570663692650131,86.48819714951728,100.3828365871173,0.4382597962413527,0.5615827699138192,88.27782771479792,102.14428687807387,0.42132144456886544,0.5783603670388836,88.51440221973809,101.58412064690054,1,1
0.4174748745573,0.5333125430100499,59.27843587051882,76.6664629586376,0.4258708143996567,0.5724010376894233,86.42369451648734,100.38171503421383,0.4357599353955315,0.5641384703005466,88.31281725429862,102.26772781406072,0.42882535465472366,0.570924966367704,88.10319185994858,102.0749645238556,2,1
0.41794143518834737,0.5350727471130551,58.98766613599623,76.23280945068895,0.4299364676585993,0.5689105387949756,87.270186224704,101.05129064034044,0.43774382377036936,0.561952124183546,88.20117944310536,102.06302660601197,0.41249388500130996,0.5851071147770557,84.97227450357273,98.88898701705746,3,1
0.41525434172174175,0.5313252427248629,57.35769045674544,74.80965161643998,0.4235721759864884,0.5755000956042068,87.62372262882351,101.34054710459206,0.43768270868574405,0.5624157805233188,88.53427140225024,102.47827795798165,0.43806565121218716,0.5581784059083797,83.25183592673018,97.8886397261053,4,1
0.41131297137570993,0.5250456569492992,51.16455153928569,68.54970696197772,0.431907587237915,0.5684401866498915,89.37101323005702,103.08891063464482,0.4363080430023712,0.5635883451053295,88.45185631078122,102.42304261204188,0.4285552984488542,0.5706729536173998,87.4630241335417,100.80453593627925,0,2
0.41286144308060324,0.528117994615963,54.24193656868891,71.81226853358156,0.43246662454163354,0.5675205458705243,88.75268326688989,102.51768807798096,0.43786433381270634,0.5621401222722633,88.43236206676117,102.33409222434379,0.42666926244807113,0.5742374533270297,89.96979455047173,102.91238612096171,1,2
0.41100577334544836,0.5252942039268133,51.06647195367863,68.636868740439,0.430806498264941,0.5690625695667841,88.60017930751337,102.21195954398638,0.4374660836588538,0.5623335854726471,88.29741785890623,102.28228694467937,0.4332517200032738,0.5680942987050495,90.65148664238856,104.06237523669174,2,2
0.4146680930653615,0.5309276886573836,57.128888834665304,74.79327038968174,0.42868627999046977,0.5715260917060002,89.09629328591505,102.58622915491077,0.4383435265182155,0.5616643085303102,88.42290556402838,102.32648845635629,0.44180609192312426,0.5583738271183809,88.9830961759461,102.50601447807651,3,2
0.4098832033525629,0.5236167501068674,50.46652723004559,68.08091879176935,0.4325075852567183,0.5676967125370477,89.16859938690766,102.56056629263661,0.4373011031252555,0.5626896006324601,88.40252742790858,102.36827668200317,0.42641057877217176,0.5736880838044408,88.73906299022195,102.72153589778577,4,2
0.409647891791024,0.5235406083036829,48.72640793437915,66.28097052582258,0.43010461912419035,0.5697055409973938,88.40471214433902,102.17198906063149,0.4379092605127866,0.5619014610146702,88.32038003401205,102.29914851475814,0.4283070871461365,0.5714214176851031,87.84137351959701,101.58457557256214,0,3
0.41149381712554595,0.5252310888237085,52.031637823308344,69.89165276512706,0.42550162145243553,0.5740377977561334,88.05116438900156,102.06474560462794,0.43662882922324364,0.5635223048351113,88.63962705994199,102.71932885249853,0.44641460700744273,0.5539027303960729,88.93111138019717,102.79514622320274,1,3
0.4123797669726265,0.5266405741571428,52.106711191047054,69.75623564971077,0.43527352641196715,0.5645087699767378,88.30743719786516,102.20430391719638,0.43661019245648275,0.5634108543465388,88.42679973600814,102.33756964774821,0.4075226762926783,0.591921482925107,88.15794483947482,101.82827700105878,2,3
0.41347798522907897,0.5293988086863642,54.896557748548815,72.59593548520026,0.42665360697471044,0.5731355843758843,88.31010527348768,102.06857054873015,0.4389840148923593,0.5609647933884954,88.28770742087642,102.15444742314348,0.4418525005100549,0.5575681168567737,87.91220928900461,101.90373476312749,3,3
0.4142517585454192,0.5296307976761941,56.244381559565724,73.76996271110745,0.4309427722286086,0.5686415572490607,88.0331961805966,101.81729375670893,0.4373533878615269,0.5627874016164703,88.53794489245213,102.48770023062852,0.424833293767619,0.5754018111796586,88.98352667580073,102.79806768687111,4,3
